"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Clare County Council","%","15.308151093"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Cork City Council","%","19.070724893"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Cork County Council","%","16.408450704"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Kerry County Council","%","15.633746501"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Limerick City & County Council","%","17.030567686"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Tipperary County Council","%","16.140412771"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Waterford City & County Council","%","15.81655481"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Galway City Council","%","18.475301439"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Galway County Council","%","14.273293726"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Leitrim County Council","%","14.105793451"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Mayo  County Council","%","13.395075672"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Roscommon County Council","%","16.560509554"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Sligo County Council","%","17.157712305"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Cavan County Council","%","14.716066482"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Donegal County Council","%","15.311653117"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Male","Monaghan County Council","%","12.544483986"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Ireland","%","17.813365923"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Carlow County Council","%","17.313150426"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Dublin City Council","%","18.703605514"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Dún Laoghaire Rathdown County Council","%","19.553608106"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Fingal County Council","%","17.315864023"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","South Dublin County Council","%","18.24364873"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Kildare County Council","%","19.144299151"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Kilkenny County Council","%","15.987186954"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Laois County Council","%","17.482302247"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Longford County Council","%","14.738202973"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Louth County Council","%","16.595048087"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Meath County Council","%","16.761144035"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Offaly County Council","%","17.529154519"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Westmeath County Council","%","18.628719276"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Wexford County Council","%","19.448640483"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Wicklow County Council","%","20.531213649"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Clare County Council","%","16.154721274"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Cork City Council","%","20.101933743"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Cork County Council","%","17.342493298"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Kerry County Council","%","17.038413879"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Limerick City & County Council","%","17.850083625"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Tipperary County Council","%","17.451268849"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Waterford City & County Council","%","18.307839388"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Galway City Council","%","23.731819794"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Galway County Council","%","16.806853583"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Leitrim County Council","%","15.294117647"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Mayo  County Council","%","14.968524131"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Roscommon County Council","%","16.037316748"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Sligo County Council","%","19.230769231"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Cavan County Council","%","15.152616279"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Donegal County Council","%","16.404822799"
"Population with a disability to any extent as a percentage","2022","15 - 19 years","Female","Monaghan County Council","%","12.189404594"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Ireland","%","19.374688663"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Carlow County Council","%","21.026183549"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Dublin City Council","%","20.127649378"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Dún Laoghaire Rathdown County Council","%","22.365792759"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Fingal County Council","%","17.238309682"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","South Dublin County Council","%","18.554476807"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Kildare County Council","%","19.773095624"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Kilkenny County Council","%","17.645918169"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Laois County Council","%","18.836171938"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Longford County Council","%","15.387658228"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Louth County Council","%","17.834167262"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Meath County Council","%","16.898770258"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Offaly County Council","%","17.487415189"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Westmeath County Council","%","18.991534781"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Wexford County Council","%","20.275240242"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Wicklow County Council","%","21.98715527"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Clare County Council","%","17.893072722"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Cork City Council","%","22.834645669"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Cork County Council","%","17.960252833"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Kerry County Council","%","18.591802647"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Limerick City & County Council","%","20.28943137"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Tipperary County Council","%","17.558471192"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Waterford City & County Council","%","21.059096492"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Galway City Council","%","25.953156181"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Galway County Council","%","16.587520707"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Leitrim County Council","%","18.458549223"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Mayo  County Council","%","17.246330568"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Roscommon County Council","%","17.337841992"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Sligo County Council","%","20.549641"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Cavan County Council","%","15.406427221"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Donegal County Council","%","18.621595796"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Both sexes","Monaghan County Council","%","14.031382016"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Ireland","%","17.346860003"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Carlow County Council","%","19.55"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Dublin City Council","%","17.087343381"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Dún Laoghaire Rathdown County Council","%","19.308731809"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Fingal County Council","%","15.564202335"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","South Dublin County Council","%","16.721450535"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Kildare County Council","%","17.790849673"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Kilkenny County Council","%","16.581446311"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Laois County Council","%","17.017954723"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Longford County Council","%","13.229859571"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Louth County Council","%","16.493656286"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Meath County Council","%","15.019157088"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Offaly County Council","%","16.130397968"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Westmeath County Council","%","17.695035461"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Wexford County Council","%","18.642491864"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Wicklow County Council","%","20.271881708"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Clare County Council","%","16.106244702"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Cork City Council","%","20.352433189"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Cork County Council","%","16.246193997"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Kerry County Council","%","17.297434595"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Limerick City & County Council","%","18.979151689"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Tipperary County Council","%","16.924436589"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Waterford City & County Council","%","19.267515924"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Galway City Council","%","22.32183908"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Galway County Council","%","15.408544173"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Leitrim County Council","%","15.03030303"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Mayo  County Council","%","15.593434343"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Roscommon County Council","%","16.370106762"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Sligo County Council","%","18.419753086"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Cavan County Council","%","14.20789832"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Donegal County Council","%","17.259704251"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Male","Monaghan County Council","%","12.751677852"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Ireland","%","21.45263255"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Carlow County Council","%","22.683885458"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Dublin City Council","%","22.932283596"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Dún Laoghaire Rathdown County Council","%","25.192215281"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Fingal County Council","%","18.990461901"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","South Dublin County Council","%","20.452299923"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Kildare County Council","%","21.89158983"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Kilkenny County Council","%","18.850764779"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Laois County Council","%","20.801687764"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Longford County Council","%","17.872340426"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Louth County Council","%","19.265829022"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Meath County Council","%","19.030239833"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Offaly County Council","%","18.9397372"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Westmeath County Council","%","20.39020658"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Wexford County Council","%","21.977223165"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Wicklow County Council","%","23.906083244"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Clare County Council","%","19.7426148"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Cork City Council","%","25.176133862"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Cork County Council","%","19.844590556"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Kerry County Council","%","19.916796672"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Limerick City & County Council","%","21.644120708"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Tipperary County Council","%","18.235432885"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Waterford City & County Council","%","22.955886485"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Galway City Council","%","29.007928834"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Galway County Council","%","17.930545712"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Leitrim County Council","%","22.392211405"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Mayo  County Council","%","18.935483871"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Roscommon County Council","%","18.379068283"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Sligo County Council","%","22.691161867"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Cavan County Council","%","16.707737802"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Donegal County Council","%","20.079129575"
"Population with a disability to any extent as a percentage","2022","20 - 24 years","Female","Monaghan County Council","%","15.530799476"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Ireland","%","18.1658373"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Carlow County Council","%","20.473876063"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Dublin City Council","%","17.674150835"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Dún Laoghaire Rathdown County Council","%","18.981915606"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Fingal County Council","%","16.488516143"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","South Dublin County Council","%","16.661032229"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Kildare County Council","%","18.8001853"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Kilkenny County Council","%","19.762140733"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Laois County Council","%","18.631006346"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Longford County Council","%","15.656345399"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Louth County Council","%","18.174262363"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Meath County Council","%","17.785721186"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Offaly County Council","%","18.201595359"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Westmeath County Council","%","19.014492754"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Wexford County Council","%","20.178003814"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Wicklow County Council","%","20.517900099"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Clare County Council","%","17.089452603"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Cork City Council","%","20.183910705"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Cork County Council","%","17.99729364"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Kerry County Council","%","17.922520221"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Limerick City & County Council","%","18.508750899"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Tipperary County Council","%","18.036732109"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Waterford City & County Council","%","20.071684588"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Galway City Council","%","21.396336607"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Galway County Council","%","16.543367347"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Leitrim County Council","%","18.466898955"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Mayo  County Council","%","17.297111417"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Roscommon County Council","%","16.43651061"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Sligo County Council","%","18.894289186"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Cavan County Council","%","15.878291997"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Donegal County Council","%","18.518020441"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Both sexes","Monaghan County Council","%","12.813102119"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Ireland","%","16.586385161"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Carlow County Council","%","17.827130852"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Dublin City Council","%","16.023021387"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Dún Laoghaire Rathdown County Council","%","16.971420832"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Fingal County Council","%","14.597333921"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","South Dublin County Council","%","15.321289732"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Kildare County Council","%","17.268201618"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Kilkenny County Council","%","17.181854677"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Laois County Council","%","16.453462726"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Longford County Council","%","13.404825737"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Louth County Council","%","17.254901961"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Meath County Council","%","15.87270974"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Offaly County Council","%","16.368038741"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Westmeath County Council","%","17.281553398"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Wexford County Council","%","18.155769732"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Wicklow County Council","%","18.232044199"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Clare County Council","%","15.379471749"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Cork City Council","%","18.841583016"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Cork County Council","%","16.526791478"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Kerry County Council","%","16.896648831"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Limerick City & County Council","%","17.277402764"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Tipperary County Council","%","16.745459069"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Waterford City & County Council","%","18.337021815"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Galway City Council","%","20.241286863"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Galway County Council","%","15.733468457"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Leitrim County Council","%","15.122615804"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Mayo  County Council","%","16.177474403"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Roscommon County Council","%","16.050198151"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Sligo County Council","%","18.374772589"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Cavan County Council","%","14.207103552"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Donegal County Council","%","17.199349946"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Male","Monaghan County Council","%","11.894543225"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Ireland","%","19.734519237"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Carlow County Council","%","23.185731857"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Dublin City Council","%","19.306930693"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Dún Laoghaire Rathdown County Council","%","20.948721346"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Fingal County Council","%","18.36133537"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","South Dublin County Council","%","17.962674961"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Kildare County Council","%","20.309625996"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Kilkenny County Council","%","22.278778387"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Laois County Council","%","20.932400932"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Longford County Council","%","17.802385009"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Louth County Council","%","19.073718827"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Meath County Council","%","19.705768486"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Offaly County Council","%","20.028957529"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Westmeath County Council","%","20.730769231"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Wexford County Council","%","22.106308992"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Wicklow County Council","%","22.684674752"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Clare County Council","%","18.793735422"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Cork City Council","%","21.532931354"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Cork County Council","%","19.462310265"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Kerry County Council","%","18.964530892"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Limerick City & County Council","%","19.726593546"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Tipperary County Council","%","19.375644995"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Waterford City & County Council","%","21.757836509"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Galway City Council","%","22.52891693"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Galway County Council","%","17.364500385"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Leitrim County Council","%","21.968616262"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Mayo  County Council","%","18.433818434"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Roscommon County Council","%","16.838487973"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Sligo County Council","%","19.415702982"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Cavan County Council","%","17.625523013"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Donegal County Council","%","19.818376068"
"Population with a disability to any extent as a percentage","2022","25 - 29 years","Female","Monaghan County Council","%","13.823331086"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Ireland","%","16.131634474"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Carlow County Council","%","17.393645665"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Dublin City Council","%","15.504870596"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Dún Laoghaire Rathdown County Council","%","16.133428516"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Fingal County Council","%","14.661619847"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","South Dublin County Council","%","15.275380898"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Kildare County Council","%","16.526992789"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Kilkenny County Council","%","15.650371394"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Laois County Council","%","16.768575134"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Longford County Council","%","14.84176064"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Louth County Council","%","17.111478507"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Meath County Council","%","15.563818485"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Offaly County Council","%","16.270758882"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Westmeath County Council","%","16.136671177"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Wexford County Council","%","18.656319762"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Wicklow County Council","%","19.493314567"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Clare County Council","%","16.839261594"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Cork City Council","%","17.091748413"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Cork County Council","%","16.524807972"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Kerry County Council","%","16.515536211"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Limerick City & County Council","%","16.059678653"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Tipperary County Council","%","16.131506849"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Waterford City & County Council","%","17.55091104"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Galway City Council","%","17.124298789"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Galway County Council","%","15.075878594"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Leitrim County Council","%","17.058823529"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Mayo  County Council","%","14.79978355"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Roscommon County Council","%","16.698603887"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Sligo County Council","%","17.096597146"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Cavan County Council","%","14.422871773"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Donegal County Council","%","17.14848883"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Both sexes","Monaghan County Council","%","12.973408541"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Ireland","%","15.010248136"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Carlow County Council","%","14.634146341"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Dublin City Council","%","14.327947055"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Dún Laoghaire Rathdown County Council","%","15.535020758"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Fingal County Council","%","13.773839337"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","South Dublin County Council","%","13.533913408"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Kildare County Council","%","15.256322625"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Kilkenny County Council","%","14.822620302"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Laois County Council","%","16.234756098"
"Population with a disability to any extent as a percentage","2022","30 - 34 years","Male","Longford County Council","%","12.709284627"
